var,type,metric,value,treated_prop,control_prop
republican_party_fav==Somewhat unfavorable,categorical,prop_diff,-0.021163159637905854,0.17406460608877528,0.19522776572668113
partisanship==Independent,categorical,prop_diff,0.01828837235250455,0.2670230072042761,0.24873463485177152
democratic_party_fav==Somewhat unfavorable,categorical,prop_diff,-0.018015143212566392,0.20613525447362305,0.22415039768618944
biden_fav==Very Unfavorable,categorical,prop_diff,0.017888610898683543,0.4271438531257262,0.4092552422270427
vote_pres_2024==other_did_not_vote,categorical,prop_diff,-0.014892500465044062,0.23239600278875203,0.2472885032537961
republican_party_fav==Very favorable,categorical,prop_diff,0.012950321867623682,0.170578666046944,0.1576283441793203
biden_fav==Somewhat Unfavorable,categorical,prop_diff,-0.012922763700987827,0.14036718568440623,0.15328994938539406
vote_pres_2020==Democrat Joe Biden,categorical,prop_diff,0.010659465247219446,0.40762258889147107,0.3969631236442516
democratic_party_fav==Very unfavorable,categorical,prop_diff,0.010072341867795043,0.31954450383453403,0.309472161966739
partisanship==Something else,categorical,prop_diff,-0.009817428826413628,0.0567046246804555,0.06652205350686913
vote_pres_2020==other_did_not_vote,categorical,prop_diff,-0.009236858913445362,0.22937485475249825,0.2386117136659436
partisanship==Republican,categorical,prop_diff,-0.008831888293979795,0.33534743202416917,0.34417932031814896
vote_pres_2024==Republican Donald Trump,categorical,prop_diff,0.008441536945839323,0.36997443643969324,0.3615328994938539
trump_fav==Very Favorable,categorical,prop_diff,0.008243588651345335,0.25842435510109224,0.2501807664497469
republican_party_fav==Very unfavorable,categorical,prop_diff,0.007693601581838794,0.3576574482918894,0.3499638467100506
vote_pres_2024==Democrat Kamala Harris,categorical,prop_diff,0.006450963519204711,0.3976295607715547,0.39117859725235
democratic_party_fav==Somewhat favorable,categorical,prop_diff,0.005970375979092113,0.26772019521264234,0.26174981923355023
democratic_party_fav==Never heard of/Not sure,categorical,prop_diff,0.005444586324192591,0.054613060655356725,0.049168474331164135
trump_fav==Very Unfavorable,categorical,prop_diff,-0.005408290202282007,0.47687659772251917,0.4822848879248012
biden_fav==Somewhat Favorable,categorical,prop_diff,-0.004201780223957147,0.23657913083894958,0.24078091106290672
trump_fav==Somewhat Unfavorable,categorical,prop_diff,-0.003596004670773159,0.08389495700673949,0.08749096167751265
trump_fav==Not sure/Never Heard of,categorical,prop_diff,0.0034854359290269676,0.009993028119916338,0.006507592190889371
democratic_party_fav==Very favorable,categorical,prop_diff,-0.0034721609585133817,0.15198698582384382,0.1554591467823572
republican_party_fav==Somewhat favorable,categorical,prop_diff,0.003182632171235683,0.2519172670230072,0.24873463485177152
trump_fav==Somewhat Favorable,categorical,prop_diff,-0.0027247297073171584,0.17081106204973273,0.1735357917570499
republican_party_fav==Never heard of/Not sure,categorical,prop_diff,-0.002663395982792277,0.04578201254938415,0.04844540853217643
biden_fav==Not sure/Never Heard of,categorical,prop_diff,-0.0016800399391771088,0.01928886823146642,0.02096890817064353
vote_pres_2020==Republican Donald Trump,categorical,prop_diff,-0.0014226063337741124,0.3630025563560307,0.3644251626898048
biden_fav==Very Favorable,categorical,prop_diff,0.0009159729654385496,0.17662096211945155,0.175704989154013
partisanship==Democrat,categorical,prop_diff,0.0003609447678888378,0.34092493609109925,0.3405639913232104
